setup,modality,model_depth,data_split,dropout,pretrained,attention_target,best_val_loss,best_epoch,val_acc,precision,recall,f1_score,specificity
mdepth101_drop0.1_all_no_pretrain,mri_pet_ot_attn,101,all,0.1,no_pretrain,none,0.3966,19,0.8056,0.7917,0.7809,0.7855,0.7809
mdepth101_drop0.1_all_no_pretrain_pet_attn,mri_pet_ot_attn,101,all,0.1,no_pretrain,pet,0.4717,26,0.7639,0.7444,0.7483,0.7462,0.7483
mdepth101_drop0.1_all_with_pretrain,mri_pet_ot_attn,101,all,0.1,with_pretrain,none,0.4230,12,0.8056,0.8148,0.7559,0.7709,0.7559
mdepth101_drop0.1_all_with_pretrain_pet_attn,mri_pet_ot_attn,101,all,0.1,with_pretrain,pet,0.4428,25,0.7639,0.7458,0.7316,0.7371,0.7316
mdepth101_drop0.1_balanced_no_pretrain,mri_pet_ot_attn,101,balanced,0.1,no_pretrain,none,0.4741,13,0.7115,0.7144,0.7115,0.7106,0.7115
mdepth101_drop0.1_balanced_no_pretrain_pet_attn,mri_pet_ot_attn,101,balanced,0.1,no_pretrain,pet,0.4832,33,0.7692,0.7692,0.7692,0.7692,0.7692
mdepth101_drop0.1_balanced_with_pretrain,mri_pet_ot_attn,101,balanced,0.1,with_pretrain,none,0.4601,13,0.8077,0.8399,0.8077,0.8030,0.8077
mdepth101_drop0.1_balanced_with_pretrain_pet_attn,mri_pet_ot_attn,101,balanced,0.1,with_pretrain,pet,0.4961,33,0.8269,0.8274,0.8269,0.8269,0.8269
mdepth101_drop0.2_all_no_pretrain,mri_pet_ot_attn,101,all,0.2,no_pretrain,none,0.3885,18,0.8333,0.8385,0.7943,0.8083,0.7943
mdepth101_drop0.2_all_with_pretrain,mri_pet_ot_attn,101,all,0.2,with_pretrain,none,0.3498,22,0.8333,0.8190,0.8361,0.8247,0.8361
mdepth101_drop0.2_balanced_no_pretrain,mri_pet_ot_attn,101,balanced,0.2,no_pretrain,none,0.4873,14,0.7308,0.7438,0.7308,0.7271,0.7308
mdepth101_drop0.2_balanced_with_pretrain,mri_pet_ot_attn,101,balanced,0.2,with_pretrain,none,0.4966,20,0.7885,0.7924,0.7885,0.7878,0.7885
mdepth101_drop0.3_all_no_pretrain,mri_pet_ot_attn,101,all,0.3,no_pretrain,none,0.3246,21,0.8889,0.8796,0.8796,0.8796,0.8796
mdepth101_drop0.3_all_with_pretrain,mri_pet_ot_attn,101,all,0.3,with_pretrain,none,0.4118,12,0.8194,0.8412,0.7667,0.7845,0.7667
mdepth101_drop0.3_all_with_pretrain_pet_attn,mri_pet_ot_attn,101,all,0.3,with_pretrain,pet,0.4172,29,0.8472,0.8501,0.8135,0.8263,0.8135
mdepth101_drop0.3_balanced_no_pretrain,mri_pet_ot_attn,101,balanced,0.3,no_pretrain,none,0.4892,36,0.7308,0.7321,0.7308,0.7304,0.7308
mdepth101_drop0.3_balanced_no_pretrain_pet_attn,mri_pet_ot_attn,101,balanced,0.3,no_pretrain,pet,0.4801,28,0.7115,0.7197,0.7115,0.7088,0.7115
mdepth101_drop0.3_balanced_with_pretrain,mri_pet_ot_attn,101,balanced,0.3,with_pretrain,none,0.5075,6,0.8077,0.8077,0.8077,0.8077,0.8077
mdepth101_drop0.3_balanced_with_pretrain_pet_attn,mri_pet_ot_attn,101,balanced,0.3,with_pretrain,pet,0.4841,26,0.7692,0.7708,0.7692,0.7689,0.7692
mdepth101_dropnone_all_no_pretrain,mri_pet_ot_attn,101,all,none,no_pretrain,none,0.4171,22,0.8611,0.8618,0.8328,0.8438,0.8328
mdepth101_dropnone_all_with_pretrain,mri_pet_ot_attn,101,all,none,with_pretrain,none,0.3763,26,0.8889,0.8766,0.8880,0.8815,0.8880
